trial_number,trial_outcome,target_index,reaction_time,movement_time,trial_duration,endpoint_error,max_speed,mean_speed,peak_speed_time,speed_variability,path_length,straight_distance,path_efficiency,total_curvature
61,win,0,1.383101,3.968287,5.351389,0.6000932185605371,1.04378942373054,0.1711286265192294,1.795847893,0.2497692000642057,0.9212800105906841,1.0,1.0854463230552935,36.60285972076819
62,lose,6,0.821534,4.017233,4.838768,2.54570468303883,0.9507817779490965,0.4035776000709294,2.910053015,0.4241760799343274,1.9669548552223741,1.0,0.5084000770759657,4.615767564562362
63,win,6,109.699893,0.910593,110.610487,0.6197013056606764,0.894378662109375,0.0034470014027587524,110.219975949,0.04672151134588589,0.38356655575412524,1.0,2.6071094703079964,7.376026330785763
64,win,2,0.128319,2.390987,2.519307,0.6215772231543716,0.4119848011082062,0.21843012601936837,0.620380878,0.13067476586750743,0.5558547841109436,1.0,1.7990310213834717,11.111974608158372
65,win,0,0.184666,1.811145,1.995811,0.6075028258412453,0.7160418962423792,0.27502648656570966,0.496119976,0.2042546373453497,0.5561166961606199,1.0,1.798183738959666,12.743876800679109
66,win,6,0.154762,1.775522,1.9302839999999999,0.5877085546457389,0.8997511387394429,0.2964653745985285,0.756819963,0.2976552694778466,0.5835822219694757,1.0,1.7135545983995122,20.551284499657875
67,win,5,0.179481,1.38069,1.5601720000000001,0.6012787025783123,0.5585933565258427,0.2555086088469947,0.648036957,0.22095613054477475,0.40517674744804283,1.0,2.468058708448548,11.932051972738037
68,win,7,0.412723,2.477423,2.890146,0.6099946894344028,0.804443359375,0.21580764113681408,1.092596769,0.2570300047607251,0.6325621237376594,1.0,1.5808723957280866,18.46857175279562
69,win,1,0.182581,1.503868,1.68645,0.5983027862563954,0.852529178859229,0.31949430507384974,0.648701906,0.2885471546049258,0.5468790452930841,1.0,1.828557902532321,9.144603590257377
70,win,3,0.156563,3.231101,3.387664,0.6131159032482382,0.52294921875,0.15248143549883184,0.521534205,0.1261993176504561,0.5186207353206549,1.0,1.9281913195809959,18.6834467306219
71,win,6,0.104147,1.455219,1.559367,0.5905639136413444,0.9040564439879275,0.33981029250974826,0.78070116,0.2944890268359577,0.5379425447486721,1.0,1.8589345828134902,9.792152742423841
72,win,7,0.153774,1.380531,1.534305,0.5935648769728087,1.1362590130481547,0.447225060946526,0.597811938,0.3424718255680377,0.702955060538195,1.0,1.422566044598046,6.55971012703952
73,win,6,0.471199,0.932442,1.403642,0.6162406311607883,0.9079431233427229,0.2692057548329903,0.861205101,0.3155624676298446,0.38535761031039334,1.0,2.594992218252889,6.659096668844878
74,win,0,0.07778,2.131314,2.209095,0.6014337008279899,0.704742431640625,0.3440065480063041,0.807820081,0.2230710134922201,0.7676877148686196,1.0,1.3026130034803771,14.28040512768153
