heading,outcome,channel,time_center,aligned_firing_rate,aligned_sem,unaligned_firing_rate,unaligned_sem,n_trials,peak_rate_aligned,peak_rate_unaligned,peak_latency_aligned,peak_latency_unaligned
180,success,0,-0.495,3.312084644553108,2.000017933659608,3.312084644553108,2.000017933659608,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.485,3.2562837287755504,1.8059004593699537,3.2604536772643398,1.80546571859834,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.475,3.186699244591346,1.5464720224596624,3.2050093741434202,1.544356599759874,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.46499999999999997,3.1433291322417927,1.3898536527781782,3.200193337124365,1.3832254882641641,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.45499999999999996,3.1220130334647522,1.3764807075966303,3.267678632369117,1.3626444033163942,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.44499999999999995,3.0837458522874637,1.3895439357940107,3.403046220904105,1.3722308469238365,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.43499999999999994,3.0043114324319258,1.3433499138781642,3.6121910319795685,1.3459866291768037,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.42499999999999993,2.905162660864708,1.283720901489301,3.922976630085523,1.3620256678768685,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.4149999999999999,2.8278849990728654,1.3325882842705616,4.348262635396996,1.5395148324925496,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.4049999999999999,2.7739521451062745,1.5320633007300828,4.83472157986861,1.8639109979198316,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.3949999999999999,2.676480634477058,1.7603961458331947,5.25836862617429,2.1947356399543247,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.3849999999999999,2.517268240010244,1.839854323738557,5.479704193920971,2.388876622632192,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.3749999999999999,2.1459021604008814,1.6791283889414728,5.414465401992543,2.3954495623368928,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.3649999999999999,1.6437644843141606,1.3178530793150898,5.065947227644098,2.2675549326226023,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.35499999999999987,1.1957560409754193,0.8923207362098178,4.517713157817646,2.067535374677382,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.34499999999999986,0.8797898692934267,0.5343813020120776,3.906288080812093,1.8069064039740843,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
180,success,0,-0.33499999999999985,0.658962787505845,0.33626248274725506,3.4057961720150947,1.527350027327645,17,21.410207570688552,16.061570747785577,0.4950000000000009,0.015000000000000454
